file	replacements	unique	top
examples/audio/audio_amp_envelope.c	48	28	Rectangle:7|Vector2:6|TextFormat:5|DrawLineV:4|DrawText:3
examples/audio/audio_mixed_processor.c	30	25	DrawText:4|IsKeyPressed:3|AttachAudioMixedProcessor:1|BeginDrawing:1|ClearBackground:1
examples/audio/audio_module_playing.c	51	32	GetRandomValue:10|DrawText:4|DrawRectangle:3|Color:2|DrawRectangleLines:2
examples/audio/audio_music_stream.c	46	26	DrawRectangle:6|DrawText:5|IsKeyDown:4|DrawRectangleLines:3|SetMusicPan:3
examples/audio/audio_raw_stream.c	34	23	DrawText:4|IsKeyDown:4|SetAudioStreamPan:3|GetTime:2|TextFormat:2
examples/audio/audio_sound_loading.c	21	15	DrawText:2|IsKeyPressed:2|LoadSound:2|PlaySound:2|Sound:2
examples/audio/audio_sound_multi.c	17	17	BeginDrawing:1|ClearBackground:1|CloseAudioDevice:1|CloseWindow:1|DrawText:1
examples/audio/audio_sound_positioning.c	48	31	Vector3:10|Camera:3|Sound:3|Vector3Normalize:3|Vector3DotProduct:2
examples/audio/audio_spectrum_visualizer.c	53	47	Image:3|Clamp:2|GetShaderLocation:2|SetShaderValueTexture:2|Vector2:2
examples/audio/audio_stream_callback.c	31	22	DrawText:4|SetAudioStreamCallback:3|IsKeyDown:2|IsKeyPressed:2|TextFormat:2
examples/audio/audio_stream_effects.c	38	26	DrawText:5|IsKeyPressed:4|AttachAudioStreamProcessor:2|DetachAudioStreamProcessor:2|DrawRectangle:2
examples/audio/raygui.h	714	53	Rectangle:204|GetColor:134|Color:58|Fade:42|Vector2:42
examples/core/core_2d_camera.c	46	23	DrawRectangle:6|DrawText:6|GetRandomValue:5|IsKeyDown:4|Vector2:3
examples/core/core_2d_camera_mouse_zoom.c	48	32	GetMousePosition:6|Vector2:4|DrawText:3|Clamp:2|GetMouseDelta:2
examples/core/core_2d_camera_platformer.c	70	26	Vector2:20|Camera2D:12|DrawText:8|IsKeyDown:3|DrawRectangleRec:2
