name	kind	paramMin	varargs	origin	originLine	decl
AttachAudioMixedProcessor	function	1	0	raylib.h	1740	I void AttachAudioMixedProcessor(AudioCallback processor); // Attach audio stream processor to the entire audio pipeline, receives frames x 2 samples as 'float' (stereo)
AttachAudioStreamProcessor	function	2	0	raylib.h	1737	I void AttachAudioStreamProcessor(AudioStream stream, AudioCallback processor); // Attach audio stream processor to stream, receives frames x 2 samples as 'float' (stereo)
AudioCallback	typedef_alias	-1	0	raylib.h	1663	d (*AudioCallback)(void *bufferData, unsigned int frames);
AudioStream	typedef_struct	-1	0	raylib.h	479	t AudioStream {
AutomationEvent	typedef_struct	-1	0	raylib.h	536	t AutomationEvent {
AutomationEventList	typedef_struct	-1	0	raylib.h	543	t AutomationEventList {
BeginBlendMode	function	1	0	raylib.h	1058	I void BeginBlendMode(int mode); // Begin blending mode (alpha, additive, multiplied, subtract, custom)
BeginDrawing	function	0	0	raylib.h	1048	I void BeginDrawing(void); // Begin canvas (framebuffer) drawing
BeginMode2D	function	1	0	raylib.h	1050	I void BeginMode2D(Camera2D camera); // Begin 2D mode with custom camera (2D)
BeginMode3D	function	1	0	raylib.h	1052	I void BeginMode3D(Camera3D camera); // Begin 3D mode with custom camera (3D)
BeginScissorMode	function	4	0	raylib.h	1060	I void BeginScissorMode(int x, int y, int width, int height); // Begin scissor mode (define screen area for following drawing)
BeginShaderMode	function	1	0	raylib.h	1056	I void BeginShaderMode(Shader shader); // Begin custom shader drawing
BeginTextureMode	function	1	0	raylib.h	1054	I void BeginTextureMode(RenderTexture2D target); // Begin drawing to render texture
BeginVrStereoMode	function	1	0	raylib.h	1062	I void BeginVrStereoMode(VrStereoConfig config); // Begin stereo rendering (requires VR simulator)
BlendMode	typedef_enum	-1	0	raylib.h	917	m {
BoneInfo	typedef_struct	-1	0	raylib.h	405	t BoneInfo {
BoundingBox	typedef_struct	-1	0	raylib.h	459	t BoundingBox {
Camera	typedef_alias	-1	0	raylib.h	335	D Camera; // Camera type fallback, defaults to Camera3D
Camera2D	typedef_struct	-1	0	raylib.h	338	t Camera2D {
Camera3D	typedef_struct	-1	0	raylib.h	327	t Camera3D {
CameraMode	typedef_enum	-1	0	raylib.h	945	m {
CameraMoveForward	function	3	0	rcamera.h	146	I void CameraMoveForward(Camera *camera, float distance, bool moveInWorldPlane);
CameraMoveRight	function	3	0	rcamera.h	148	I void CameraMoveRight(Camera *camera, float distance, bool moveInWorldPlane);
CameraMoveToTarget	function	2	0	rcamera.h	149	I void CameraMoveToTarget(Camera *camera, float delta);
CameraMoveUp	function	2	0	rcamera.h	147	I void CameraMoveUp(Camera *camera, float distance);
CameraPitch	function	5	0	rcamera.h	153	I void CameraPitch(Camera *camera, float angle, bool lockView, bool rotateAroundTarget, bool rotateUp);
CameraProjection	typedef_enum	-1	0	raylib.h	954	m {
CameraRoll	function	2	0	rcamera.h	154	I void CameraRoll(Camera *camera, float angle);
CameraYaw	function	3	0	rcamera.h	152	I void CameraYaw(Camera *camera, float angle, bool rotateAroundTarget);
ChangeDirectory	function	1	0	raylib.h	1163	I int ChangeDirectory(const char *dirPath); // Change working directory, returns 0 on success
CheckCollisionBoxSphere	function	3	0	raylib.h	1653	I bool CheckCollisionBoxSphere(BoundingBox box, Vector3 center, float radius); // Check collision between box and sphere
CheckCollisionBoxes	function	2	0	raylib.h	1652	I bool CheckCollisionBoxes(BoundingBox box1, BoundingBox box2); // Check collision between two bounding boxes
CheckCollisionCircleLine	function	4	0	raylib.h	1340	I bool CheckCollisionCircleLine(Vector2 center, float radius, Vector2 p1, Vector2 p2); // Check if circle collides with a line created between two points [p1] and [p2]
